search_song,search_artist,matched_song,matched_artist,collection,apple_genre,preview_url,match_status,title_score,artist_score,artist_overlap,version_penalty,failure_reason
Scared To Live,The Weeknd,Scared To Live (Sollos Focus Mix),The Weeknd,The Weeknd Chill Sollos Focus Collection,R&B/Soul,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/05/a3/7d/05a37d28-ff1a-691d-8447-a94f49c3f59c/mzaf_13934735706840742430.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,1.0,1.0,0.25,SUCCESS
Seda,Bad Bunny & Bryant Myers,A Tu Merced,Bad Bunny,YHLQMDLG,Urbano latino,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/17/ec/ef/17eceff9-59e2-3dbc-2395-eb83903b7d03/mzaf_3226979305489942701.plus.aac.p.m4a,LOW_CONFIDENCE,0.2666666666666666,1.0,1.0,0.0,SUCCESS
Self Care,Mac Miller,self care.,Nicolle Galyon,firstborn,Country,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/bf/0b/4a/bf0b4a7e-a7ec-553e-03eb-98b929edb305/mzaf_14855632162031469514.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.3333333333333333,0.0,0.0,SUCCESS
Senorita,Shawn Mendes & Camila Cabello,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/cf/06/d6/cf06d6fd-f7a0-2898-8363-67688df6c14f/mzaf_8234301186390421644.plus.aac.p.m4a,LOW_CONFIDENCE,0.875,0.6153846153846154,1.0,0.0,SUCCESS
Silly Watch,Lil Uzi Vert,SILLY WATCH,KOU!!!,SILLY WATCH - Single,Devotional & Spiritual,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/47/f4/00/47f40058-aa8b-f467-c30a-370298ed9d9f/mzaf_15056199030060901632.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.1333333333333333,0.0,0.0,SUCCESS
Sleazy Remix 2.0 Get Sleazier,"""Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000""",Sleazy Remix 2.0 - Get Sleazier (Dance Mix),The Re-Mix Heroes,"2012 Dance Party Hits, Vol. 6",Dance,https://audio-ssl.itunes.apple.com/itunes-assets/Music/94/81/68/mzi.xkpolsux.aac.p.m4a,LOW_CONFIDENCE,1.0,0.2727272727272727,0.0,0.25,SUCCESS
Slide,Calvin Harris Featuring Frank Ocean & Migos,Outside (feat. Ellie Goulding),Calvin Harris,Motion,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a9/1d/67/a91d67ff-f6ed-9854-293b-6464a403c032/mzaf_7782381657554339456.plus.aac.p.m4a,LOW_CONFIDENCE,0.6666666666666666,1.0,1.0,0.0,SUCCESS
Slut! (Taylor's Version) [From The Vault],Taylor Swift,"""Slut!"" (Taylor's Version) [From The Vault]",Taylor Swift,1989 (Taylor's Version),Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/03/7d/d8/037dd885-c541-84ec-5155-c1ead3dc809d/mzaf_1355345805178358367.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,1.0,1.0,0.25,SUCCESS
Smaller Acts,Zach Bryan,All the Time,Zach Bryan,Summertime Blues - EP,Country,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/4e/be/ea/4ebeea9c-28d8-77d2-9f2b-03a5a280c97d/mzaf_7405768655406971364.plus.aac.p.m4a,LOW_CONFIDENCE,0.5,1.0,1.0,0.0,SUCCESS
Sneakin',Drake Featuring 21 Savage,Sneakin,Tara George,Sneakin - Single,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/08/cc/6f/08cc6fdf-45e1-069b-b957-0ad20834d9c4/mzaf_10248805305763864321.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.375,0.0,0.0,SUCCESS
Some Cut,Trillville Featuring Cutty,Some Cut,Negative,Nothing to Lose,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f5/fa/35/f5fa35c5-6838-9b06-3bcf-0343754fd697/mzaf_15511865314668685129.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.4444444444444444,0.0,0.0,SUCCESS
Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,Somethin' Bad (with Carrie Underwood) [Duet Version],Miranda Lambert,Platinum,Country,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/98/a9/f8/98a9f800-4d90-7ac1-651e-97b90eb76bf7/mzaf_2741377425016712495.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.5263157894736842,1.0,0.25,SUCCESS
Spotless,Zach Bryan Featuring The Lumineers,Spotless,Martin Garrix & Jay Hardway,Seven - EP,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b9/5b/9c/b95b9c0c-3f2a-f52a-5c1e-55786ba7fad7/mzaf_13901450028316543073.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.2285714285714285,0.0,0.0,SUCCESS
Stand By Me,Lil Durk Featuring Morgan Wallen,Stand By Me,Skylar Grey,Stand By Me - Single,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/ad/ca/36/adca367e-8b15-0a32-2d2d-2f77ef79d14d/mzaf_10788163011471942510.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.3157894736842105,0.0,0.0,SUCCESS
Stars,¥$: Ye & Ty Dolla $ign,Stars,Andrew McMahon in the Wilderness,Stars - Single,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/5c/1d/8b/5c1d8b54-9b04-986f-a959-6a404cf91f36/mzaf_9376496668804852495.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.0588235294117647,0.0,0.0,SUCCESS
Start Of Something New,"""Zac Efron, Andrew Seeley & Vanessa Anne Hudgens""",Start of Something New,Ely Eira,Legend of Ely,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/bd/83/61/bd83612f-8ed0-29e4-b3a8-64ac4cee270c/mzaf_16404813100407723690.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.3529411764705882,0.0,0.0,SUCCESS
Stay Here 4 Life,A$AP Rocky Featuring Brent Faiyaz,Excuse Me,A$AP Rocky,AT.LONG.LAST.A$AP,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/81/d7/c8/81d7c8b5-326f-508d-1ce9-967265d878bd/mzaf_13045921125239262827.plus.aac.p.m4a,LOW_CONFIDENCE,0.32,1.0,1.0,0.0,SUCCESS
